Date-Time (EDT),"Net Top, Temperature (°F)","Cage, Temperature (°F)","Cage, Light (lum)","Net Bottom, Temperature (°F)","Net Bottom, Light (lum)","Wild, Temperature (°F)"
6/28/23 16:00,54.91,54.39,56,54.39,11,
6/28/23 17:00,54.54,54.23,32,54.16,6,
6/28/23 18:00,54.43,54.16,20,54.08,6,
6/28/23 19:00,54.43,53.69,10,54.08,3,
6/28/23 20:00,54.29,53.85,2,53.93,0,
6/28/23 21:00,53.94,53.39,0,53.62,0,
6/28/23 22:00,54.41,54.16,0,54,0,
6/28/23 23:00,54.43,54.31,0,54.08,0,
6/29/23 0:00,54.97,54.54,0,54.78,0,
6/29/23 1:00,55.06,54.85,0,54.78,0,
6/29/23 2:00,55.05,54.93,0,54.78,0,
6/29/23 3:00,54.99,54.93,0,54.7,0,
6/29/23 4:00,54.95,54.7,0,54.7,0,
6/29/23 5:00,54.87,54.39,0,54.62,0,
6/29/23 6:00,54.66,53.77,1,54.23,1,
6/29/23 7:00,54.16,53.54,27,53.85,8,
6/29/23 8:00,54.22,54,51,53.93,15,
6/29/23 9:00,54.27,53.23,50,53.93,14,
6/29/23 10:00,54.72,53.39,59,54.23,14,
6/29/23 11:00,54.54,54.39,115,54.31,22,
6/29/23 12:00,54.49,54.39,157,54.16,25,
6/29/23 13:00,54.83,54.47,200,54.39,30,
6/29/23 14:00,54.87,54.62,194,54.47,29,
6/29/23 15:00,54.76,54.54,103,54.47,21,
6/29/23 16:00,54.76,54.23,66,54.47,17,
6/29/23 17:00,54.93,54.08,41,54.47,9,
6/29/23 18:00,54.45,52.69,14,54.08,8,
6/29/23 19:00,53.6,52.54,7,53.15,3,
6/29/23 20:00,53.6,52.38,1,53.31,0,
6/29/23 21:00,53.6,52.23,0,53.31,0,
6/29/23 22:00,54.14,52.54,0,53.77,0,
6/29/23 23:00,54.41,54.31,0,54.16,0,
6/30/23 0:00,54,53.93,0,53.69,0,
6/30/23 1:00,53.93,53.93,0,53.69,0,
6/30/23 2:00,53.85,53.77,0,53.69,0,
6/30/23 3:00,54.27,53.77,0,53.77,0,
6/30/23 4:00,54.16,54,0,53.85,0,
6/30/23 5:00,54.33,54,1,54,0,
6/30/23 6:00,54.2,53.23,8,53.85,3,
6/30/23 7:00,53.48,52.38,22,52.92,7,
6/30/23 8:00,53.39,52.23,46,53.08,14,
6/30/23 9:00,53.21,52.3,71,53,18,
6/30/23 10:00,53.08,52.07,84,52.77,24,
6/30/23 11:00,53.42,52.54,110,53.08,22,
6/30/23 12:00,53.85,53.77,109,53.54,18,
6/30/23 13:00,53.91,53.77,221,53.62,33,
6/30/23 14:00,53.96,53.69,204,53.46,31,
6/30/23 15:00,54.06,53.77,245,53.69,32,
6/30/23 16:00,54.23,53.77,178,53.85,27,
6/30/23 17:00,54.43,53.54,82,53.77,14,
6/30/23 18:00,54.64,53.08,30,54.23,6,
6/30/23 19:00,54.04,52.69,14,53.46,3,
6/30/23 20:00,53.94,52.23,2,53.62,0,
6/30/23 21:00,53.85,52.15,0,53.46,0,
6/30/23 22:00,53.56,52.23,0,53.31,0,
6/30/23 23:00,53.54,52.84,0,53.08,0,
7/1/23 0:00,53.66,53.54,0,53.39,0,
7/1/23 1:00,53.62,53.69,0,53.46,0,
7/1/23 2:00,53.48,53.46,0,53.31,0,
7/1/23 3:00,53.87,53.62,0,53.54,0,
7/1/23 4:00,53.91,53.54,0,53.62,0,
7/1/23 5:00,53.85,53.85,1,53.62,0,
7/1/23 6:00,53.85,53.54,14,53.62,2,
7/1/23 7:00,53.75,53.23,36,53.46,5,
7/1/23 8:00,53.6,52.69,82,53.23,14,
7/1/23 9:00,53.17,52.54,55,52.77,10,
7/1/23 10:00,53.62,52.54,134,53.23,28,
7/1/23 11:00,53.44,53,124,53.15,23,
7/1/23 12:00,53.25,52.61,149,52.84,25,
7/1/23 13:00,53.66,53.15,228,53.23,30,
7/1/23 14:00,53.89,53.77,504,53.39,59,
7/1/23 15:00,53.85,53.77,230,53.46,27,
7/1/23 16:00,53.81,53.62,185,53.39,21,
7/1/23 17:00,54.06,53.62,73,53.54,9,
7/1/23 18:00,54.06,53.62,21,53.69,3,
7/1/23 19:00,54.29,53.69,12,53.69,2,
7/1/23 20:00,54.22,53.62,2,53.85,0,
7/1/23 21:00,54.52,53.77,0,54.08,0,
7/1/23 22:00,54.62,53.15,0,54.16,0,
7/1/23 23:00,54.37,52.77,0,54.08,0,
7/2/23 0:00,54.52,53.77,0,54.08,0,
7/2/23 1:00,54.66,54.31,0,54.31,0,
7/2/23 2:00,54.27,54.08,0,54.08,0,
7/2/23 3:00,54.2,54,0,54,0,
7/2/23 4:00,54.33,54,0,54.08,0,
7/2/23 5:00,54.49,54.31,1,54.23,0,
7/2/23 6:00,54.39,54.23,19,54.16,2,
7/2/23 7:00,54.37,54,32,54.08,5,
7/2/23 8:00,54.64,54.08,41,54.31,6,
7/2/23 9:00,54.52,54.08,40,54.16,7,
7/2/23 10:00,54.76,53.54,73,54.31,14,
7/2/23 11:00,54.83,54.23,48,54.47,7,
7/2/23 12:00,54.76,54.16,96,54.39,14,
7/2/23 13:00,54.58,54,79,54.31,11,
7/2/23 14:00,54.54,54.47,79,54.31,9,
7/2/23 15:00,54.45,54.39,59,54.08,6,
7/2/23 16:00,54.49,54.47,53,54.16,5,
7/2/23 17:00,54.49,54.47,33,54.23,3,
7/2/23 18:00,54.74,54.39,23,54.31,3,
7/2/23 19:00,54.83,54.47,23,54.39,3,
7/2/23 20:00,54.83,54.54,1,54.62,0,
7/2/23 21:00,54.83,54.47,0,54.54,0,
7/2/23 22:00,54.64,53.62,0,54.39,0,
7/2/23 23:00,54.49,54.39,0,54.23,0,
7/3/23 0:00,54.49,54.54,0,54.23,0,
7/3/23 1:00,54.74,54.54,0,54.47,0,
7/3/23 2:00,54.64,54.7,0,54.31,0,
7/3/23 3:00,54.64,54.62,0,54.31,0,
7/3/23 4:00,54.56,54.54,0,54.31,0,
7/3/23 5:00,54.5,54.47,0,54.31,0,
7/3/23 6:00,54.54,54.47,14,54.31,2,
7/3/23 7:00,54.56,54.47,42,54.31,6,
7/3/23 8:00,54.6,54.47,66,54.23,10,
7/3/23 9:00,54.54,54.31,28,54.23,5,
7/3/23 10:00,54.54,54.23,32,54.31,8,
7/3/23 11:00,54.5,54,34,54.08,9,
7/3/23 12:00,54.43,54.23,24,54.16,5,
7/3/23 13:00,54.37,54.08,22,54,4,
7/3/23 14:00,54.78,54.62,166,54.39,33,
7/3/23 15:00,54.74,54.7,98,54.47,14,
7/3/23 16:00,54.68,54.62,131,54.39,16,53.9
7/3/23 17:00,54.97,54.78,86,54.7,11,54.1
7/3/23 18:00,54.95,54.93,30,54.7,4,53.8
7/3/23 19:00,54.89,54.85,10,54.62,2,53.9
7/3/23 20:00,54.89,54.7,3,54.62,1,54
7/3/23 21:00,54.64,54.39,0,54.31,0,54.1
7/3/23 22:00,54.52,53.54,0,54.23,0,54
7/3/23 23:00,54.52,53.77,0,54.16,0,52.5
7/4/23 0:00,54.41,53.85,0,54.08,0,52.3
7/4/23 1:00,54.33,54.23,0,54.08,0,54.2
7/4/23 2:00,54.47,54.39,0,54.23,0,52.7
7/4/23 3:00,54.37,54.39,0,54.08,0,53.5
7/4/23 4:00,54.37,54.31,0,54.08,0,54
7/4/23 5:00,54.33,54.31,2,54.16,0,53.6
7/4/23 6:00,54.33,54.31,13,54.16,2,53.8
7/4/23 7:00,54.31,54.31,36,54,5,53.7
7/4/23 8:00,54.37,54.31,66,54.08,9,53.9
7/4/23 9:00,54.52,54.39,119,54.23,18,53.4
7/4/23 10:00,54.64,54.47,238,54.23,47,53.2
7/4/23 11:00,54.41,53.39,127,54.08,31,53.1
7/4/23 12:00,54.33,53.54,135,54,32,52.7
7/4/23 13:00,54.16,53.77,200,53.69,39,53.1
7/4/23 14:00,54.66,54.16,209,54.16,37,53.7
7/4/23 15:00,55.1,54.85,278,54.7,46,52.9
7/4/23 16:00,56.13,55.24,40,55.7,6,53.2
7/4/23 17:00,56.13,55.01,36,55.24,5,52.9
7/4/23 18:00,55.14,54.85,20,54.85,3,53.3
7/4/23 19:00,55.32,54.85,11,54.85,2,53.5
7/4/23 20:00,55.14,54.78,3,54.78,1,54
7/4/23 21:00,55.14,54.7,0,54.62,0,54
7/4/23 22:00,55.03,54,0,54.7,0,53.5
7/4/23 23:00,54.68,53.54,0,54.23,0,53.1
7/5/23 0:00,54.22,52.92,0,53.77,0,52.7
7/5/23 1:00,54.95,53.46,0,54.54,0,52.3
7/5/23 2:00,54.78,53.62,0,54.47,0,53.5
7/5/23 3:00,56.63,54.78,0,56.4,0,52.5
7/5/23 4:00,56.71,56.24,0,56.4,0,52.5
7/5/23 5:00,56.55,55.47,0,56.01,0,53.4
